name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Ivy Park at Laguna Creek,4.1,,Assisted living facility,6727 Laguna Park Dr,,Open 24 hours,http://ivyliving.com/lagunacreek,https://www.google.com/maps/place/Ivy+Park+at+Laguna+Creek/data=!4m7!3m6!1s0x809ac636f96ae8a5:0xb8974e183d7482c6!8m2!3d38.4221988!4d-121.425431!16s%2Fg%2F1vknpmx7!19sChIJpehq-TbGmoARxoJ0PRhOl7g?authuser=0&hl=en&rclk=1
WellQuest of Elk Grove,4.8,,Retirement community,8871 E Stockton Blvd,,Open 24 hours,https://www.wellquesteg.com/?utm_source=GMB&utm_medium=organic,https://www.google.com/maps/place/WellQuest+of+Elk+Grove/data=!4m7!3m6!1s0x809ac6f660bd3e77:0xce6d40cda280433!8m2!3d38.4354337!4d-121.3981924!16s%2Fg%2F11fct79bzs!19sChIJdz69YPbGmoARMwQo2gzU5gw?authuser=0&hl=en&rclk=1
Silver Oaks Senior Living,5.0,,Assisted living facility,2517 Gunn Rd,,Open · Closes 8 PM,,https://www.google.com/maps/place/Silver+Oaks+Senior+Living/data=!4m7!3m6!1s0x809add416ac20baf:0xc62a9f22bed19972!8m2!3d38.6105725!4d-121.3417792!16s%2Fg%2F11fqwqwb51!19sChIJrwvCakHdmoARcpnRviKfKsY?authuser=0&hl=en&rclk=1
St Mary's Home at Bell,5.0,,Assisted living facility,1347 Bell St,,,,https://www.google.com/maps/place/St+Mary%27s+Home+at+Bell/data=!4m7!3m6!1s0x809ada48014533a1:0x4d1efd9b65f5ca31!8m2!3d38.5904411!4d-121.4110281!16s%2Fg%2F1tfl0g7j!19sChIJoTNFAUjamoARMcr1ZZv9Hk0?authuser=0&hl=en&rclk=1
Walnut House,3.8,,Assisted living facility,3401 Walnut Ave,,Open · Closes 5 PM,https://ciminocare.com/walnut-house,https://www.google.com/maps/place/Walnut+House/data=!4m7!3m6!1s0x809adc0236f1fb77:0xc3d2d4deaa1b79a5!8m2!3d38.6265735!4d-121.346932!16s%2Fg%2F1thcsln1!19sChIJd_vxNgLcmoARpXkbqt7U0sM?authuser=0&hl=en&rclk=1
Power Inn Home,5.0,,Assisted living facility,7365 Power Inn Rd,,,,https://www.google.com/maps/place/Power+Inn+Home/data=!4m7!3m6!1s0x809ac5aee0b3b0a7:0x24b9c5dfd5c986d!8m2!3d38.4907046!4d-121.4081288!16s%2Fg%2F1wfvmxgq!19sChIJp7Cz4K7FmoARbZhc_V2cSwI?authuser=0&hl=en&rclk=1
The Oaks at Garfield,5.0,,Assisted living facility,3500 Garfield Ave,,Open · Closes 5 PM,https://theoaksatgarfield.com/,https://www.google.com/maps/place/The+Oaks+at+Garfield/data=!4m7!3m6!1s0x809adc1e974dbaf7:0xd1c2882134cadf9e!8m2!3d38.6287611!4d-121.3359025!16s%2Fg%2F11g88vgfp4!19sChIJ97pNlx7cmoARnt_KNCGIwtE?authuser=0&hl=en&rclk=1
A Sure Solutions,5.0,,Assisted living facility,2257 Knight Wy,,,,https://www.google.com/maps/place/A+Sure+Solutions/data=!4m7!3m6!1s0x809ad034126d906f:0x3d738db20f1f58a7!8m2!3d38.5260542!4d-121.4867804!16s%2Fg%2F1263w0k4w!19sChIJb5BtEjTQmoARp1gfD7KNcz0?authuser=0&hl=en&rclk=1
Housing Options Made Easy for Elders,,,Assisted living facility,8115 Elder Creek Rd a,,Open · Closes 5 PM,http://www.housing-options.com/,https://www.google.com/maps/place/Housing+Options+Made+Easy+for+Elders/data=!4m7!3m6!1s0x809aded884d5e8d5:0x679f28fa158ac229!8m2!3d38.5110551!4d-121.4079302!16s%2Fg%2F11hd6p6kh8!19sChIJ1ejVhNjemoARKcKKFfoon2c?authuser=0&hl=en&rclk=1
St Francis Senior Residence,2.7,,Retirement home,6254 66th Ave,,,,https://www.google.com/maps/place/St+Francis+Senior+Residence/data=!4m7!3m6!1s0x809ac5764dcfc26f:0x1f832beb340de3ce!8m2!3d38.4914265!4d-121.4308864!16s%2Fg%2F1vljgl2n!19sChIJb8LPTXbFmoARzuMNNOsrgx8?authuser=0&hl=en&rclk=1
Abounding Peace Elderly Care - Assisted Living,,,Assisted living facility,7124 Hayward Dr,,Open · Closes 8 PM,,https://www.google.com/maps/place/Abounding+Peace+Elderly+Care+-+Assisted+Living/data=!4m7!3m6!1s0x809ac45b3f500001:0x3ffaa58b5aca04cb!8m2!3d38.4951885!4d-121.3842388!16s%2Fg%2F11fm_7b515!19sChIJAQBQP1vEmoARywTKWoul-j8?authuser=0&hl=en&rclk=1
"Blueberry Hill Senior Living, Inc. #342700821",5.0,,Assisted living facility,3827 Olive Ln,,Open 24 hours,http://www.blueberryhillseniorliving.com/,"https://www.google.com/maps/place/Blueberry+Hill+Senior+Living,+Inc.+%23342700821/data=!4m7!3m6!1s0x809addfc0d6624ad:0x410049bf9f051169!8m2!3d38.634305!4d-121.3253179!16s%2Fg%2F11qnfn4flm!19sChIJrSRmDfzdmoARaREFn79JAEE?authuser=0&hl=en&rclk=1"
Eskaton Village Carmichael,4.3,,Assisted living facility,3939 Walnut Ave,,Open 24 hours,https://www.eskaton.org/eskaton-village-carmichael,https://www.google.com/maps/place/Eskaton+Village+Carmichael/data=!4m7!3m6!1s0x809adeae6f278bc7:0x7bc2d8a5699407b1!8m2!3d38.635465!4d-121.3461637!16s%2Fg%2F1td5gcjv!19sChIJx4snb67emoARsQeUaaXYwns?authuser=0&hl=en&rclk=1
Unity Memory Care Home,5.0,,Assisted living facility,8161 Chimango Ct,,Open · Closes 6 PM,,https://www.google.com/maps/place/Unity+Memory+Care+Home/data=!4m7!3m6!1s0x809b218eb11fbe8b:0x705f0c179619cacc!8m2!3d38.7182058!4d-121.3503435!16s%2Fg%2F11s8mbyzmc!19sChIJi74fsY4hm4ARzMoZlhcMX3A?authuser=0&hl=en&rclk=1
Vita Bella Elderly Care II Assisted Living Senior Home,,,Assisted living facility,8362 New Point Dr,,Open · Closes 7 PM,,https://www.google.com/maps/place/Vita+Bella+Elderly+Care+II+Assisted+Living+Senior+Home/data=!4m7!3m6!1s0x809ac78ebc26b77d:0x7966dc3f7b20bd72!8m2!3d38.4539521!4d-121.3877972!16s%2Fg%2F11nnr8t73m!19sChIJfbcmvI7HmoARcr0gez_cZnk?authuser=0&hl=en&rclk=1
Good Samaritan Care Facility,5.0,,Assisted living facility,4406 Barrett Rd,,Open 24 hours,https://www.good-samaritans.net/,https://www.google.com/maps/place/Good+Samaritan+Care+Facility/data=!4m7!3m6!1s0x809adf43bf8a7ba3:0x37af0aa323d6040d!8m2!3d38.6447877!4d-121.3124923!16s%2Fg%2F11k51v_j2k!19sChIJo3uKv0PfmoARDQTWI6MKrzc?authuser=0&hl=en&rclk=1
Angel Touch Memory Care LLC,5.0,,Assisted living facility,7765 Cottingham Way,,Open 24 hours,https://www.angeltouchmemorycare.com/,https://www.google.com/maps/place/Angel+Touch+Memory+Care+LLC/data=!4m7!3m6!1s0x809adfa7ba0a7d81:0xd7af84c602f43dba!8m2!3d38.7037562!4d-121.2776651!16s%2Fg%2F11m5rn4fj8!19sChIJgX0KuqffmoARuj30AsaEr9c?authuser=0&hl=en&rclk=1
Happy Journey Care home,5.0,,Assisted living facility,4728 Johnson Dr,,Open 24 hours,http://www.happyjourneycare.com/,https://www.google.com/maps/place/Happy+Journey+Care+home/data=!4m7!3m6!1s0x809adfdca20d4447:0x5f3ef1d031dba6ec!8m2!3d38.6509782!4d-121.2967923!16s%2Fg%2F11h5561gcc!19sChIJR0QNotzfmoAR7KbbMdDxPl8?authuser=0&hl=en&rclk=1
Heart Court Manor,,,Assisted living facility,7230 Rush River Dr,,,http://www.heartcourtmanorrcfe.com/,https://www.google.com/maps/place/Heart+Court+Manor/data=!4m7!3m6!1s0x809acda071709843:0x5b5e084ea819cbab!8m2!3d38.4944911!4d-121.5386795!16s%2Fg%2F11q93jrbkd!19sChIJQ5hwcaDNmoARq8sZqE4IXls?authuser=0&hl=en&rclk=1
Atria Carmichael Oaks,4.5,,Assisted living facility,8350 Fair Oaks Blvd,,Open 24 hours,https://www.atriaseniorliving.com/retirement-communities/atria-carmichael-oaks-carmichael-ca/?utm_source=GMB&utm_medium=Birdeye,https://www.google.com/maps/place/Atria+Carmichael+Oaks/data=!4m7!3m6!1s0x809addd36781a141:0xbe49ecd0c8ccb3aa!8m2!3d38.6359355!4d-121.3071575!16s%2Fg%2F12630bp04!19sChIJQaGBZ9PdmoARqrPMyNDsSb4?authuser=0&hl=en&rclk=1
Citrus Garden Care Home,5.0,,Assisted living facility,5648 Timmerman Way,,Open · Closes 5 PM,http://citrusgardencarehome.com/,https://www.google.com/maps/place/Citrus+Garden+Care+Home/data=!4m7!3m6!1s0x809ade44d4100001:0x28a0e03caf06aa3b!8m2!3d38.6694634!4d-121.2966546!16s%2Fg%2F11h5q8jy90!19sChIJAQAQ1ETemoARO6oGrzzgoCg?authuser=0&hl=en&rclk=1
