name,rating,reviews,category,address_lane1,phone,status,website,maps_url
Home Instead,4.6,,Home health care service,2432 Regency Rd #150,,Open 24 hours,https://www.homeinstead.com/home-care/usa/ky/lexington/312/?utm_source=google&utm_medium=organic&utm_campaign=google_organic_businesslisting_y,https://www.google.com/maps/place/Home+Instead/data=!4m7!3m6!1s0x88425b6317ba24db:0x9df0de15509949c5!8m2!3d38.0034655!4d-84.5245515!16s%2Fg%2F1tgxv71_!19sChIJ2yS6F2NbQogRxUmZUBXe8J0?authuser=0&hl=en&rclk=1
Caring Excellence Lexington,5.0,,Home help service agency,824 Bull Lea Run #104,,Open 24 hours,https://caringexcellenceathome.com/lexington/,https://www.google.com/maps/place/Caring+Excellence+Lexington/data=!4m7!3m6!1s0x8842457792b09037:0xf568153a97d343d0!8m2!3d38.091762!4d-84.491354!16s%2Fg%2F11yflp4vbw!19sChIJN5CwkndFQogR0EPTlzoVaPU?authuser=0&hl=en&rclk=1
Lexington Senior Center,4.8,,Senior citizen center,195 Life Ln,,Closed · Opens 8 AM Tue,https://www.lexingtonky.gov/seniorcenter,https://www.google.com/maps/place/Lexington+Senior+Center/data=!4m7!3m6!1s0x88424535676f7ddf:0x6558602647a5ec00!8m2!3d38.0191204!4d-84.4590398!16s%2Fg%2F11bx56dnpq!19sChIJ331vZzVFQogRAOylRyZgWGU?authuser=0&hl=en&rclk=1
Westminster Village,3.9,,Apartment complex,1510 Versailles Rd,,Closed · Opens 8:05 AM Tue,https://www.westminstervillageapts.com/,https://www.google.com/maps/place/Westminster+Village/data=!4m7!3m6!1s0x8842436425fd06db:0x8f79b591d2604ecb!8m2!3d38.047245!4d-84.5292129!16s%2Fg%2F1trrdwtr!19sChIJ2wb9JWRDQogRy05g0pG1eY8?authuser=0&hl=en&rclk=1
Bluegrass Area Agency on Aging & Independent Living,4.0,,Non-profit organization,699 Perimeter Dr,,,http://www.bgaaail.com/,https://www.google.com/maps/place/Bluegrass+Area+Agency+on+Aging+%26+Independent+Living/data=!4m7!3m6!1s0x88425aea466c0109:0xf299253359e06068!8m2!3d37.9946937!4d-84.4627865!16s%2Fg%2F11bxg9bt3g!19sChIJCQFsRupaQogRaGDgWTMlmfI?authuser=0&hl=en&rclk=1
Bob Brown House,3.9,,Social services organization,507 Rogers Rd,,Open 24 hours,http://bobbrownhouse.com/,https://www.google.com/maps/place/Bob+Brown+House/data=!4m7!3m6!1s0x884245ec3e868b7f:0x3d7f6fa0ea392906!8m2!3d38.0834988!4d-84.4510936!16s%2Fg%2F1tczl4mz!19sChIJf4uGPuxFQogRBik56qBvfz0?authuser=0&hl=en&rclk=1
Families Hope LLC,4.1,,Assisted living facility,540 Eureka Springs Dr,,Closed · Opens 7:30 AM Tue,https://familieshope.biz/,https://www.google.com/maps/place/Families+Hope+LLC/data=!4m7!3m6!1s0x88425abe5d6ce4c9:0x35afd104912ea130!8m2!3d37.9984341!4d-84.4557856!16s%2Fg%2F11g6bl0trp!19sChIJyeRsXb5aQogRMKEukQTRrzU?authuser=0&hl=en&rclk=1
Village Caregiving,4.9,,Home health care service,811 Corporate Dr STE 108,,Open 24 hours,https://villagecaregiving.com/locations/ky/lexington/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=lexington,https://www.google.com/maps/place/Village+Caregiving/data=!4m7!3m6!1s0x88425d9ff291b537:0xc58dd48b220319c8!8m2!3d38.0115572!4d-84.5511843!16s%2Fg%2F11k1j85kzy!19sChIJN7WR8p9dQogRyBkDIovUjcU?authuser=0&hl=en&rclk=1
Westminster Memory Care || Memory Care in Lexington South Carolina,4.3,,Assisted living facility,886 Park Rd,,Closed · Opens 8 AM Tue,https://westminstermemory.com/?utm_source=GBP&utm_medium=Website+Button,https://www.google.com/maps/place/Westminster+Memory+Care+%7C%7C+Memory+Care+in+Lexington+South+Carolina/data=!4m7!3m6!1s0x88f891c5d2ea6a93:0x578b0edaecf94a59!8m2!3d34.0042741!4d-81.2819311!16s%2Fg%2F11hjx34bwv!19sChIJk2rq0sWR-IgRWUr57NoOi1c?authuser=0&hl=en&rclk=1
Polo Club Park Apartments,5.0,,Apartment building,6411 Polo Club Blvd,,,https://www.auassociates.com/,https://www.google.com/maps/place/Polo+Club+Park+Apartments/data=!4m7!3m6!1s0x88424f4c7baa3821:0xcb52f2e551865ad!8m2!3d38.02561!4d-84.404563!16s%2Fg%2F11v0c25pdg!19sChIJITiqe0xPQogRrWUYVS4vtQw?authuser=0&hl=en&rclk=1
